fold,ENCE,CV,ECE,chi_2,DMS_id,fold_variable_name
0,0.3307128795948116,0.0275129476821968,0.21381875029608224,0.47566930914112965,A0A140D2T1_ZIKV_Sourisseau_2019,fold_contiguous_5
1,0.4051815960416157,0.038025044600910544,0.21419773556302993,1.2346410443618192,A0A140D2T1_ZIKV_Sourisseau_2019,fold_contiguous_5
2,0.2144373259829644,0.02804437549115268,0.1749727604339381,0.7276476205501426,A0A140D2T1_ZIKV_Sourisseau_2019,fold_contiguous_5
3,0.7538515192772646,0.02072426007094416,0.13664787531384717,3.2579607677075093,A0A140D2T1_ZIKV_Sourisseau_2019,fold_contiguous_5
4,0.3129983137993404,0.022948944753576745,0.2647846889952153,0.5783297183509746,A0A140D2T1_ZIKV_Sourisseau_2019,fold_contiguous_5
0,0.28697266349549355,0.309423689105965,0.033614050241128665,1.409435646226925,A0A192B1T2_9HIV1_Haddox_2018,fold_contiguous_5
1,0.3697446934870054,0.2580797609931519,0.06801093643198909,1.76734472331804,A0A192B1T2_9HIV1_Haddox_2018,fold_contiguous_5
2,0.26810564078932725,0.34478318393869495,0.02664201826881254,1.3116081933813404,A0A192B1T2_9HIV1_Haddox_2018,fold_contiguous_5
3,0.4415149943502675,0.3441138654509102,0.08510946788458752,1.9631900117472318,A0A192B1T2_9HIV1_Haddox_2018,fold_contiguous_5
4,0.4948894720716697,0.2783373275180381,0.10508191967522115,2.240663532969972,A0A192B1T2_9HIV1_Haddox_2018,fold_contiguous_5
0,0.14741012294655093,0.006884837590951064,0.02485493230174078,1.238154649194968,A0A1I9GEU1_NEIME_Kennouche_2019,fold_contiguous_5
1,0.07984429307196805,0.016214524179812867,0.06027667984189722,0.9515991708761607,A0A1I9GEU1_NEIME_Kennouche_2019,fold_contiguous_5
2,0.05769555049701447,0.008947746621604209,0.06382978723404252,0.9239913078370556,A0A1I9GEU1_NEIME_Kennouche_2019,fold_contiguous_5
3,0.18058644889164033,0.008002553293718621,0.017318435754189933,1.3503275341981262,A0A1I9GEU1_NEIME_Kennouche_2019,fold_contiguous_5
4,0.16859065442781712,0.011910084523343953,0.05588673621460505,0.7034643432761324,A0A1I9GEU1_NEIME_Kennouche_2019,fold_contiguous_5
0,0.166419736325973,0.16279513579157256,0.024827219564061653,1.005990029089023,A0A247D711_LISMN_Stadelmann_2021,fold_contiguous_5
1,0.5945350838645942,0.15759854835133816,0.11695906432748539,2.5777748642635028,A0A247D711_LISMN_Stadelmann_2021,fold_contiguous_5
2,0.09642910668118743,0.1618884566181264,0.06121587390937234,0.9611263362853593,A0A247D711_LISMN_Stadelmann_2021,fold_contiguous_5
3,0.25462284490692716,0.26223082386968394,0.02794821277793413,1.384609343123922,A0A247D711_LISMN_Stadelmann_2021,fold_contiguous_5
4,0.06868286541201554,0.2297423761201344,0.02789192231916687,1.1580828346034806,A0A247D711_LISMN_Stadelmann_2021,fold_contiguous_5
0,0.6963633565252461,0.32579579732866504,0.11569092603575366,2.8131892383655615,A0A2Z5U3Z0_9INFA_Doud_2016,fold_contiguous_5
1,0.43500997209076564,0.34784580853610997,0.07407799466486008,1.9068571204413929,A0A2Z5U3Z0_9INFA_Doud_2016,fold_contiguous_5
2,0.4060375130689732,0.2981884344955646,0.05752212389380534,1.771465445518905,A0A2Z5U3Z0_9INFA_Doud_2016,fold_contiguous_5
3,0.23838719863629615,0.3192347482069411,0.01894821526866243,1.1678059583308797,A0A2Z5U3Z0_9INFA_Doud_2016,fold_contiguous_5
4,0.30287114873647325,0.32795810904702316,0.019002050580997975,1.4526247496284344,A0A2Z5U3Z0_9INFA_Doud_2016,fold_contiguous_5
0,0.38202762372012744,0.0070256201188598,0.17111023466771835,0.821954447481711,A0A2Z5U3Z0_9INFA_Wu_2014,fold_contiguous_5
1,0.3616259889383891,0.00813946557588608,0.17430830039525688,1.5493387220054278,A0A2Z5U3Z0_9INFA_Wu_2014,fold_contiguous_5
2,0.53724881861701,0.013634756120460393,0.20509011685482273,1.7646466737521715,A0A2Z5U3Z0_9INFA_Wu_2014,fold_contiguous_5
3,0.4718122851575532,0.016318324396069988,0.21887250326675375,0.533170100585814,A0A2Z5U3Z0_9INFA_Wu_2014,fold_contiguous_5
4,0.21926379659291,0.008568163965050292,0.21334462638810459,0.7153718209479882,A0A2Z5U3Z0_9INFA_Wu_2014,fold_contiguous_5
0,0.17098133220618225,0.11497211589928812,0.019251336898395723,1.1795591791975206,A4_HUMAN_Seuma_2022,fold_contiguous_5
1,0.24126859048250565,0.12888184862821944,0.0608718766613503,0.8704375724913134,A4_HUMAN_Seuma_2022,fold_contiguous_5
2,0.032217136864913926,0.12769030189402208,0.02392344497607657,1.0969845577369082,A4_HUMAN_Seuma_2022,fold_contiguous_5
3,0.22373339283242108,0.1585897219230531,0.06652618904274535,1.4528892124164758,A4_HUMAN_Seuma_2022,fold_contiguous_5
4,0.14104274109624204,0.11598329928648494,0.03827751196172252,1.1582168507382513,A4_HUMAN_Seuma_2022,fold_contiguous_5
0,0.29606433663142767,0.27709365940553776,0.017854444724250806,1.7880164232508873,A4D664_9INFA_Soh_2019,fold_contiguous_5
1,0.26646483670561383,0.26216930977701913,0.01609166456811884,1.411711224077356,A4D664_9INFA_Soh_2019,fold_contiguous_5
2,0.6330596792512972,0.26580227828722996,0.016198690506169747,2.7446859880170718,A4D664_9INFA_Soh_2019,fold_contiguous_5
3,0.32301305928889923,0.3479641633731251,0.06490808360614453,0.9470786773595494,A4D664_9INFA_Soh_2019,fold_contiguous_5
