fold,ENCE,CV,ECE,chi_2,DMS_id,fold_variable_name
2,0.2587049459029362,0.017493714968617437,0.23271956039718497,1.1369172825018188,A0A140D2T1_ZIKV_Sourisseau_2019,fold_random_5
1,0.2991666105156621,0.019619172759363725,0.23920153920153917,0.8779361680035194,A0A140D2T1_ZIKV_Sourisseau_2019,fold_random_5
3,0.2654303383277919,0.02599395823505386,0.23484065055936823,1.1057284316531264,A0A140D2T1_ZIKV_Sourisseau_2019,fold_random_5
0,0.2363360408400536,0.025002051473853808,0.24031777557100292,0.9652104194826667,A0A140D2T1_ZIKV_Sourisseau_2019,fold_random_5
4,0.3165561127594614,0.016957247515457328,0.24190064794816415,1.0048546340769235,A0A140D2T1_ZIKV_Sourisseau_2019,fold_random_5
1,0.05083609617971944,0.07118017702063485,0.005159109281987207,1.1211712790244404,A0A192B1T2_9HIV1_Haddox_2018,fold_random_5
3,0.09070852531463429,0.0702848893407424,0.016056623583505326,1.4016553611264064,A0A192B1T2_9HIV1_Haddox_2018,fold_random_5
0,0.09997401826415915,0.08508104876406825,0.005659709939865579,1.089619261056044,A0A192B1T2_9HIV1_Haddox_2018,fold_random_5
4,0.2080980028471259,0.11798111000379147,0.008171685002895186,1.1043970015079687,A0A192B1T2_9HIV1_Haddox_2018,fold_random_5
2,0.0801999770799621,0.07868579497690763,0.012097066280333251,1.215567867851925,A0A192B1T2_9HIV1_Haddox_2018,fold_random_5
3,0.2152188292948573,0.013611817930495412,0.0409326424870466,1.1539049621382058,A0A1I9GEU1_NEIME_Kennouche_2019,fold_random_5
1,0.08557405575515938,0.012867321117795219,0.012763098969995501,1.1372949514457065,A0A1I9GEU1_NEIME_Kennouche_2019,fold_random_5
2,0.16297228913710352,0.02722360754968958,0.021407624633431047,0.9397155750789018,A0A1I9GEU1_NEIME_Kennouche_2019,fold_random_5
4,0.10569993767609731,0.008537665950596232,0.027365491651205918,1.0837856608152285,A0A1I9GEU1_NEIME_Kennouche_2019,fold_random_5
0,0.09753698979938845,0.01311031340473499,0.0875324675324675,0.8590821640076063,A0A1I9GEU1_NEIME_Kennouche_2019,fold_random_5
2,0.1861877267762987,0.06243242284884334,0.059602100027631916,1.2867001514197842,A0A247D711_LISMN_Stadelmann_2021,fold_random_5
3,0.2041029794765504,0.05268830584837744,0.08367458367458364,0.9852917114807059,A0A247D711_LISMN_Stadelmann_2021,fold_random_5
1,0.120723057403558,0.08385141567150103,0.07595307917888561,1.4092335422653983,A0A247D711_LISMN_Stadelmann_2021,fold_random_5
4,0.10867515922452131,0.06583579785620712,0.08192389006342492,1.0024083729658837,A0A247D711_LISMN_Stadelmann_2021,fold_random_5
0,0.22206345720569387,0.04611790536274078,0.07162125708119771,0.8931225297281512,A0A247D711_LISMN_Stadelmann_2021,fold_random_5
3,0.036867077799709345,0.07181555177265717,0.012643971269497184,1.0343751002597021,A0A2Z5U3Z0_9INFA_Doud_2016,fold_random_5
4,0.07963217364734523,0.08002762828430525,0.004013885875461049,1.11079964188327,A0A2Z5U3Z0_9INFA_Doud_2016,fold_random_5
1,0.048883308235542024,0.061556221105880216,0.005420401195049083,1.0859375160751306,A0A2Z5U3Z0_9INFA_Doud_2016,fold_random_5
0,0.028000710163588516,0.05618197637742563,0.008946338974402567,1.0716442001456716,A0A2Z5U3Z0_9INFA_Doud_2016,fold_random_5
2,0.08956179186068627,0.08160687542512697,0.009600295772912125,1.098016191606893,A0A2Z5U3Z0_9INFA_Doud_2016,fold_random_5
0,0.38733257719391667,0.00703123465256533,0.21833721833721828,0.7094037597896236,A0A2Z5U3Z0_9INFA_Wu_2014,fold_random_5
1,0.28432286421719377,0.005819027726182805,0.21128462539505485,0.7974843589322816,A0A2Z5U3Z0_9INFA_Wu_2014,fold_random_5
2,0.5028266273580402,0.006822443535092815,0.20704930662557777,2.3135588552609505,A0A2Z5U3Z0_9INFA_Wu_2014,fold_random_5
3,0.2899748278876884,0.004840838050455567,0.22394424797170787,0.54937925871312,A0A2Z5U3Z0_9INFA_Wu_2014,fold_random_5
4,0.24299552339552313,0.00589286727475986,0.21412471825694962,1.0273107948106532,A0A2Z5U3Z0_9INFA_Wu_2014,fold_random_5
3,0.1170690604114902,0.08531399240516667,0.028039430449069012,0.9405372675816964,A4_HUMAN_Seuma_2022,fold_random_5
4,0.14418281786343762,0.1073732294299315,0.009648633575013957,1.1188939040731998,A4_HUMAN_Seuma_2022,fold_random_5
2,0.21575379002367226,0.08767958115087598,0.03106060606060603,1.0272105865892318,A4_HUMAN_Seuma_2022,fold_random_5
1,0.0555603055518996,0.08406165955783895,0.04010695187165772,1.042189948612151,A4_HUMAN_Seuma_2022,fold_random_5
0,0.11929398505664505,0.07629617438008038,0.02620320855614972,1.1953471086133207,A4_HUMAN_Seuma_2022,fold_random_5
1,0.0872855261556406,0.10641223654071959,0.10596368805324029,0.9586688091095642,A4D664_9INFA_Soh_2019,fold_random_5
2,0.04373947791214615,0.10120125280959298,0.09235431235431232,1.115599511922773,A4D664_9INFA_Soh_2019,fold_random_5
4,0.09551809144067355,0.11292852842731624,0.08811969063015086,1.1656555281943257,A4D664_9INFA_Soh_2019,fold_random_5
0,0.2111898066843188,0.07974021628581889,0.09692192659978813,1.1348899599151139,A4D664_9INFA_Soh_2019,fold_random_5
3,0.07109341529258682,0.11609767959938871,0.09119161225514816,1.4358261927654712,A4D664_9INFA_Soh_2019,fold_random_5
3,0.07078607997045631,0.05041180874729323,0.05933107987902504,0.8891059371748781,A4GRB6_PSEAI_Chen_2020,fold_random_5
2,0.09769789669789194,0.053362232812284395,0.023827392120075033,1.2065309149163572,A4GRB6_PSEAI_Chen_2020,fold_random_5
1,0.10627586892542193,0.0578815384401693,0.05449883449883448,1.0341494646908316,A4GRB6_PSEAI_Chen_2020,fold_random_5
4,0.11397038917437492,0.049392977706769405,0.04442255371047938,1.0377941541882354,A4GRB6_PSEAI_Chen_2020,fold_random_5
0,0.07863718151989575,0.05751858450801741,0.050130939019827896,0.9728168317609882,A4GRB6_PSEAI_Chen_2020,fold_random_5
0,0.08885551556996635,0.012900353757557301,0.02437785678009138,1.0127819108426581,AACC1_PSEAI_Dandage_2018,fold_random_5
2,0.09376861766460068,0.013508386572528511,0.022512028361610512,0.9439736764410215,AACC1_PSEAI_Dandage_2018,fold_random_5
3,0.09377679130009528,0.013589131913743528,0.027327657237022754,0.9119466031171339,AACC1_PSEAI_Dandage_2018,fold_random_5
4,0.1352551459039041,0.011268971487642063,0.007226107226107207,1.1182662006895645,AACC1_PSEAI_Dandage_2018,fold_random_5
1,0.12846554260477788,0.015231457039641275,0.00803906836964685,1.071837892699262,AACC1_PSEAI_Dandage_2018,fold_random_5
2,0.0934473381529374,0.06046209868389425,0.08021978021978021,1.0611161550572077,ACE2_HUMAN_Chan_2020,fold_random_5
0,0.049382111362473544,0.03589545583050127,0.07466802860061285,0.9931198559995478,ACE2_HUMAN_Chan_2020,fold_random_5
1,0.05973263943963836,0.04708828298419752,0.08468677494199534,0.9819566355889177,ACE2_HUMAN_Chan_2020,fold_random_5
4,0.12655846183200614,0.036295454015239856,0.07719991678801746,1.1143101398915107,ACE2_HUMAN_Chan_2020,fold_random_5
3,0.1473329840220045,0.06235817489360754,0.09640359640359636,0.8694366228916973,ACE2_HUMAN_Chan_2020,fold_random_5
1,0.059386519759721576,0.004429430642905586,0.038977861516721606,1.025962092629337,ADRB2_HUMAN_Jones_2020,fold_random_5
