fold,ENCE,CV,ECE,chi_2,DMS_id,fold_variable_name
0,0.3086692818980434,0.2841710499302946,0.03449521117914897,1.0728592681704494,AMFR_HUMAN_Rocklin_2023_4G3O,domain
0,0.233842118516095,0.29171190157296634,0.07306005142943577,0.5882708713268516,BBC1_YEAST_Rocklin_2023_1TG0,domain
0,0.1978131419330279,0.23378342777960173,0.046511627906976716,0.8835202176254534,BCHB_CHLTE_Rocklin_2023_2KRU,domain
0,0.1762826032771697,0.33269338403663407,0.07094409801991026,0.7197124663904836,CATR_CHLRE_Rocklin_2023_2AMI,domain
0,0.14342712569909763,0.29477226461975703,0.06656174782447694,0.8258435178885739,CBPA2_HUMAN_Rocklin_2023_1O6X,domain
0,0.10859350165577104,0.19624680903577313,0.03000939628846602,0.8283173572077828,CBX4_HUMAN_Rocklin_2023_2K28,domain
0,0.44272993360145996,0.3106715911828481,0.164749620013967,0.35306866696896816,CSN4_MOUSE_Rocklin_2023_1UFM,domain
0,0.04397120193174466,0.24349953627956153,0.01827094474153301,1.1019444055659502,CUE1_YEAST_Rocklin_2023_2MYX,domain
0,0.08935790847284016,0.1519003632634779,0.023139662756598258,1.1542557270746732,DLG4_HUMAN_Faure_2021,domain
0,0.17653312944396984,0.3066060399321483,0.07488909231744241,0.7289237416649046,DNJA1_HUMAN_Rocklin_2023_2LO1,domain
0,0.16932117557986626,0.3366122231122913,0.0724234634260341,0.7320798147351074,DOCK1_MOUSE_Rocklin_2023_2M0Y,domain
0,0.19912011589353357,0.3700630194333353,0.06384276198517684,0.668239100510895,EPHB2_HUMAN_Rocklin_2023_1F0M,domain
0,0.18065744463784456,0.2582107661017986,0.06780760403153376,0.6951984954195969,FECA_ECOLI_Rocklin_2023_2D1U,domain
0,0.252352751149389,0.2630067613713739,0.07545395140690281,0.7162459024468547,HECD1_HUMAN_Rocklin_2023_3DKM,domain
0,0.22268368402194555,0.20716717603406593,0.07878279438682122,0.6910828876713808,ISDH_STAAW_Rocklin_2023_2LHR,domain
0,0.22403653208345747,0.45235093615997646,0.07364857364857359,0.6844524545183827,MAFG_MOUSE_Rocklin_2023_1K1V,domain
0,0.23791918700320042,0.2703492784322066,0.10585723001830379,0.6676710287563917,MBD11_ARATH_Rocklin_2023_6ACV,domain
0,0.18858528899209143,0.16986602674228554,0.06912170145726661,0.6685282917806836,MYO3_YEAST_Rocklin_2023_2BTT,domain
0,0.23487882389355938,0.1901254869579476,0.09512592334089452,0.6020091541237672,NKX31_HUMAN_Rocklin_2023_2L9R,domain
0,0.44057729650294525,0.2827546773122203,0.15837417922870614,0.34821464534717955,NUSA_ECOLI_Rocklin_2023_1WCL,domain
0,0.38866925898635435,0.16244048269708827,0.14006436041834272,0.40966727401656194,NUSG_MYCTU_Rocklin_2023_2MI6,domain
0,0.1493035072379318,0.39182773460767834,0.033657182512144314,0.9958584006383906,OBSCN_HUMAN_Rocklin_2023_1V1C,domain
0,0.19255255731911763,0.17662436665887804,0.12027621793898917,0.667948977370108,ODP2_GEOSE_Rocklin_2023_1W4G,domain
0,0.10857765630031366,0.2800213880316033,0.024398131512755997,1.1747663711926155,PIN1_HUMAN_Rocklin_2023_1I6C,domain
0,0.26049646501290064,0.3178758250002978,0.07592686642965972,0.703245590583024,PITX2_HUMAN_Rocklin_2023_2L7M,domain
0,0.24995543534252604,0.2970461913192316,0.09418131476276374,0.5995565501447297,POLG_PESV_Rocklin_2023_2MXD,domain
0,0.2957468940997211,0.42363121543990756,0.10215939998351599,0.5506484921161331,PR40A_HUMAN_Rocklin_2023_1UZC,domain
0,0.3854744686608428,0.39581536397091116,0.03389524382901869,1.6502067650963155,PSAE_SYNP2_Rocklin_2023_1PSE,domain
0,0.14481713813874902,0.36658974910907455,0.047626434998448625,0.8767671918822132,RAD_ANTMA_Rocklin_2023_2CJJ,domain
0,0.19119115770538966,0.5606586168108157,0.06175889328063238,1.0494487425538992,RBP1_HUMAN_Rocklin_2023_2KWH,domain
0,0.4303851754744337,0.2751989635506914,0.062401080872418475,2.0863864825920295,RCD1_ARATH_Rocklin_2023_5OAO,domain
0,0.31112408624630816,0.2704285471676594,0.11160775684225001,0.5217561641135333,RCRO_LAMBD_Rocklin_2023_1ORC,domain
0,0.17230694520940698,0.3135975053035645,0.07074683846337387,0.7522212829266467,RD23A_HUMAN_Rocklin_2023_1IFY,domain
0,0.2922879246533692,0.1589941259331634,0.10122092064015842,1.7253710465604293,RFAH_ECOLI_Rocklin_2023_2LCL,domain
0,0.11281344114215683,0.30144128239963885,0.03297872340425531,1.2022995448292977,RL20_AQUAE_Rocklin_2023_1GYZ,domain
0,0.23623461047007172,0.5236649589447483,0.01672077922077919,1.1183850530835442,RPC1_BP434_Rocklin_2023_1R69,domain
0,0.10047336477445849,0.253348955689547,0.021585523481258098,1.2370883429422512,SAV1_MOUSE_Rocklin_2023_2YSB,domain
0,0.17989335132692624,0.2980688462162489,0.045757143474689815,0.6883761946946977,SDA_BACSU_Rocklin_2023_1PV0,domain
0,0.20173264252998582,0.4309479944257038,0.01982629743005621,0.9543869322153866,SPA_STAAU_Rocklin_2023_1LP1,domain
0,0.20766160385277832,0.3032057732225915,0.10147654892877817,0.6507585604578382,SPG2_STRSG_Rocklin_2023_5UBS,domain
0,0.36531984888106306,0.2712226914926284,0.13748073959938367,0.4250611551929763,SPTN1_CHICK_Rocklin_2023_1TUD,domain
0,0.2306290088269553,0.22214659110373866,0.06567973311092574,0.6644818317152641,SR43C_ARATH_Rocklin_2023_2N88,domain
